month_label,year,month,call_hour,call_count,avg_duration_sec
October 2025,2025,10,10/20/2025 21:00,8.0,117.88
October 2025,2025,10,10/31/2025 19:00,8.0,201.0
October 2025,2025,10,10/7/2025 07:00,8.0,116.88
November 2025,2025,11,11/29/2025 15:00,17.0,116.0
November 2025,2025,11,11/17/2025 17:00,12.0,84.17
November 2025,2025,11,11/26/2025 16:00,11.0,60.36
November 2025,2025,11,11/4/2025 22:00,11.0,132.27
November 2025,2025,11,11/19/2025 18:00,10.0,120.3
November 2025,2025,11,11/20/2025 20:00,10.0,35.7
November 2025,2025,11,11/1/2025 03:00,9.0,38.78
November 2025,2025,11,11/21/2025 11:00,8.0,157.88
November 2025,2025,11,11/25/2025 15:00,8.0,178.75
November 2025,2025,11,11/8/2025 17:00,8.0,129.88
December 2025,2025,12,12/19/2025 20:00,16.0,89.81
December 2025,2025,12,12/17/2025 10:00,14.0,152.43
December 2025,2025,12,12/1/2025 15:00,13.0,153.46
December 2025,2025,12,12/17/2025 18:00,12.0,136.83
December 2025,2025,12,12/22/2025 16:00,12.0,109.92
December 2025,2025,12,12/21/2025 20:00,11.0,60.45
December 2025,2025,12,12/5/2025 14:00,11.0,157.45
December 2025,2025,12,12/27/2025 19:00,10.0,86.6
December 2025,2025,12,12/16/2025 12:00,9.0,117.0
December 2025,2025,12,12/8/2025 16:00,9.0,130.56
January 2026,2026,1,1/10/2026 13:00,10.0,124.7
January 2026,2026,1,1/10/2026 18:00,9.0,166.0
January 2026,2026,1,1/21/2026 11:00,8.0,76.13
January 2026,2026,1,1/31/2026 17:00,8.0,179.63
January 2026,2026,1,1/10/2026 20:00,7.0,59.14
January 2026,2026,1,1/2/2026 08:00,7.0,112.86
January 2026,2026,1,1/30/2026 17:00,7.0,104.14
January 2026,2026,1,1/4/2026 07:00,7.0,89.86
January 2026,2026,1,1/9/2026 16:00,7.0,126.57
January 2026,2026,1,1/28/2026 22:00,6.0,269.67
February 2026,2026,2,2/5/2026 12:00,11.0,89.45
February 2026,2026,2,2/17/2026 11:00,9.0,58.22
February 2026,2026,2,2/6/2026 10:00,9.0,145.0
February 2026,2026,2,2/7/2026 15:00,9.0,168.67
February 2026,2026,2,2/22/2026 13:00,8.0,247.63
February 2026,2026,2,2/27/2026 12:00,8.0,127.25
February 2026,2026,2,2/27/2026 14:00,8.0,170.88
February 2026,2026,2,2/7/2026 09:00,8.0,218.0
February 2026,2026,2,2/13/2026 21:00,7.0,157.43
February 2026,2026,2,2/27/2026 13:00,7.0,176.71
March 2026,2026,3,3/18/2026 12:00,14.0,87.5
March 2026,2026,3,3/5/2026 14:00,13.0,70.0
March 2026,2026,3,3/14/2026 19:00,10.0,118.8
March 2026,2026,3,3/5/2026 17:00,10.0,102.4
March 2026,2026,3,3/12/2026 19:00,9.0,208.67
March 2026,2026,3,3/21/2026 13:00,9.0,92.0
March 2026,2026,3,3/14/2026 13:00,8.0,104.75
March 2026,2026,3,3/14/2026 21:00,8.0,200.5
March 2026,2026,3,3/26/2026 22:00,8.0,186.75
March 2026,2026,3,3/28/2026 11:00,8.0,136.0
April 2026,2026,4,4/8/2026 13:00,14.0,48.86
April 2026,2026,4,4/10/2026 08:00,10.0,74.6
April 2026,2026,4,4/19/2026 15:00,9.0,168.33
April 2026,2026,4,4/26/2026 14:00,9.0,136.22
April 2026,2026,4,4/6/2026 13:00,9.0,74.0
April 2026,2026,4,4/8/2026 20:00,9.0,201.89
April 2026,2026,4,4/19/2026 17:00,8.0,211.13
April 2026,2026,4,4/26/2026 15:00,8.0,109.88
April 2026,2026,4,4/30/2026 10:00,8.0,71.13
April 2026,2026,4,4/5/2026 11:00,8.0,194.38
May 2026,2026,5,5/17/2026 18:00,14.0,60.0
May 2026,2026,5,5/21/2026 02:00,13.0,45.62
May 2026,2026,5,5/21/2026 20:00,9.0,173.44
May 2026,2026,5,5/27/2026 08:00,9.0,156.0
May 2026,2026,5,5/31/2026 22:00,9.0,79.0
May 2026,2026,5,5/9/2026 20:00,9.0,170.44
May 2026,2026,5,5/10/2026 14:00,8.0,266.38
May 2026,2026,5,5/11/2026 15:00,8.0,218.25
May 2026,2026,5,5/14/2026 13:00,8.0,181.13
May 2026,2026,5,5/18/2026 11:00,8.0,174.88
June 2026,2026,6,6/10/2026 21:00,12.0,93.33
June 2026,2026,6,6/19/2026 23:00,11.0,54.45
June 2026,2026,6,6/27/2026 13:00,10.0,170.7
June 2026,2026,6,6/11/2026 13:00,9.0,131.33
June 2026,2026,6,6/22/2026 19:00,9.0,200.33
June 2026,2026,6,6/26/2026 21:00,9.0,112.67
June 2026,2026,6,6/12/2026 20:00,8.0,209.0
June 2026,2026,6,6/26/2026 22:00,8.0,182.38
June 2026,2026,6,6/29/2026 09:00,8.0,148.63
June 2026,2026,6,6/3/2026 13:00,8.0,174.75
